text,label
ትራምፕ በኮሮናቫይረስ ስጋት የሪፐብሊካኖቸን መድረክ ሰረዙ የአሜሪካው ፕሬዘዳንት ዶናልድ ትራምፕ በኮሮናቫይረስ ስጋት በፍሎሪዳ ሊካሄድ የነበረውን የሪፐብሊካኖች መድረክ ሰረዙ። https://bbc.in/3ht4JXd,0
"""አል ሲሲ ግድቡ ከዉሃ ሙሌቱ በፊት መመታት አለበት እያለ ነዉ!”  https://www.zena365.com/watch.php?vid=01b35a87dbf",1
  ሁለቱ ሲኖዶሶች ያደረጉት እርቅ አርአያነት ያለው ተግባር መሆኑ ተገለጸ,0
በጉባ ወረዳ አለመረጋጋት ለመፍጠር ሲንቀሳቀሱ የነበሩ 121 ተጠርጣሪዎች በቁጥጥር ስር መዋላቸው ተገለጸ ,0
አቶ በረከት ስምኦን ከእስር ነፃ ሆኑ!  ,1
ዶ/ር አረጋዊ ሚስጥሩን አሾለኩ! የህውሀት አመራር ለምርጫም ለጦርነትም እየተዘጋጀ ይገኛል http://news.ariftube.com/watch.php?vid=0d3342e98,1
የማትበገረው የእስራኤል የጀርባ አጥንት አስፈሪው ሞሳድ ኢትዮጵያን አስፈራራ! https://www.sheganews.com/watch.php?vid=be3b8766470,1
ጠበብ ያለ ማብሰያ ቤት ያላቸው ከተሜዎች በዚህ መልኩ የምግብ ጠረጴዛቸውን ቢያሰሩስ ?   Compact table for a small kitchen,0
አምቦ እና ኮካ ለስላሳ መጠጦች ያለአግባብ ውህደት በመፈፀማቸው እያንዳናዳቸው 1.5 ሚሊየን ብር ተቀጡ!,1
የአፕል 15 የጤና በረከቶች  1. ጤናማና ነጭ ጥርስ እንዲኖርዎት ያስችላል፡፡  2. የመርሳት በሽታን በእጅጉ ይከላከላል፤ ከዚህም በተጨማሪ የአንጎል ህዋሳትን እርጅና በመዋጋት የማስታወስ ችሎታን ያነቃቃል፡፡  3. የተለያዩ የነቀርሳ ህመሞችን ይዋጋል፡፡  4. አፕልን መመገብ በስኳር በሽታ የመያዝ ዕድልን በእጅጉ ይቀንሳል፡፡  5. የኮሌስትሮል መጠንንም ይቀንሳል፡፡  6. ለልብ ጤንነትም ይረዳል፡፡  7. የፓርኪንሰን በሽታን ይከላከላል፡፡  8. የሀሞት ጠጠር እንዳይፈጠር ይረዳል፡፡  9. ለተቅማጥና ድርቀትም ፍቱን መድሀኒትነቱ ይነገርለታል፤ ይህም በአፕል ውስጥ ያለው ፋይበር የተመጠነ ውሀ በመምጠጥ ብቃቱ ሳቢያ የተከሰተ ነው፡፡  10. ከሆድ ህመም ይከላከላል፡፡  11. የኪንታሮት በሽታ አንዳይከሰት ይከላከላል፡፡  12. ለበርካታ የጤና ጠንቆች ምክንያት የሆነውን የክብደት መጨመርንም ይከላከላል፡፡ አፕል በፋይበር የዳበረ ስለሆነ አፕልን የምንመገብ ከሆነ ከፍተኛ የካሎሪ መጠን ያላቸውን ምግቦች መመገብ አያሻንም፡፡  13. በተለያዩ ምክንያቶች ወደ ሰውነታችን የሚገባውን መርዛማ ንጥረነገሮች የሚያጣራውን ጉበታችንን በማጣራት ከፍተኛ ግልጋሎት ይሰጣል፡፡  14. የሰውነትን በሽታ የመከላከል ብቃት ያጠነክራል፡፡  15. ዓይንን ከካታራክት እንደሚከላከልም በቅርብ ጊዜያት የተከናወኑ ጥናቶች ይጠቁማሉ፡፡  ምንጭ፦ alifradio.com,0
  በኢትዮጵያ ዴሞክራሲ ፤ ነጻነት እና ጋዜጠኝነት ትናንት ዛሬ እና ነገ ምን ይመስላል? https://bit.ly/2JgtOWD,0
በአለም ረጅሙ ውሻ ከዚህ አለም በሞት ተለየ ። ጆርጅ በሚል መጠሪያ የሚታወቀው ውሻ 7 ጫማ ወይም 2.13 ሜትር ርዝመት ነበረው ።     ከጥፍሩ እስከ ትክሻው ደግሞ 43 ኢንች ያክል ርዝማኔ እና 245 ፓውንድ ወይም 111 ኪሎ ግራም ይመዝናል ።    ጆርጅ በአሪዞና ግዛት ከአሳዳሪዎቹ ዴቭ እና ክርስቲ ናስር ጋር ከአምስት ወሩ ጀምሮ አብሮ የኖረ ሲሆን ፥ 8ኛ አመት የልደት በአሉን ሊያከብር የአንድ ወር እድሜ ሲቀረው ነው ህይወቱ ያለፈው ።    ጆርጅ የምንጊዜውም ረጅሙ ውሻ የሚለውን ስም በአለም ድንቃ ድንቅ መዝገብ (ጊነስ ቡክ ) ላይ አስመዝግቧል።    ምንጭ ዴይሊ ሜይል,0
በ40/60 መርሃ ግብር የአራት መኝታ ክፍል ቤቶች (ከፕሮግራሙ ውጪ የተጨመሩ ክፍሎች) መገንባታቸውንና የዲዛይን ክፍተቱን ያወኩት በግንባታው መካከል ላይ ነው ሲል የአዲስ አበባ ቤቶች ልማትና አስተዳደር ቢሮ ገለጸ፡፡,0
ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ ደምቢ ዶሎ ናቸው  አዲስ አበባ፣ ግንቦት 12፣ 2010 (ኤፍ.ቢ.ሲ) ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ ቄለም ወለጋ ዞን ደምቢ ዶሎ ከተማ ይገኛሉ።  ዛሬ ማለዳ ደምቢ ዶሎ ከተማ የገቡት ጠቅላይ ሚኒስትር ዶክተር አብይ ከኦሮሚያ ክልል ርእሰ መስተዳደር አቶ ለማ መገርሳ እና ከኢፌዴሪ ትምህርት ሚኒስትር ዶክተር ጥላዬ ጌቴ ጋር በመሆን የደምቢ ዶሎ ዩኒቨርሲቲን መርቀው ከፍተዋል።,0
ዚምባብዌ መሬት ተወስዶብናል ላሉት ነጭ አርሶ አደሮች ካሳ ልትከፍል ነው  ዚምባብዌ የቅጭ ግዛት መገርሰስን እንዲሁም አገሪቷ ከተጫነባት ቀንበር ነፃ መውጣቷን ተከትሎ በኃይል ተነጥቆ የነበረውን መሬት ለጥቁሮች አከፋፍላለች። ይህ መሬት በአናሳ ነጭ አርሶ አደሮች በኃይል ተይዞ የነበረ ነው። ከሰሞኑ ደግሞ አገሪቷ ላከፋፈለችው መሬት ካሳ የሚሆን 3.5 ቢሊዮን ዶላር ካሳ ለመክፈል ተስማምታለች  https://bbc.in/2X7FL88,0
ዘማሪት ዘርፌ አዲስ እና አነጋጋሪ መልክት http://www.beyeanynetu.com/watch.php?vid=2c69d4ec1,1
"""በኢትዮጵያ ታሪክ ህወሓት በጣም አስቸጋሪ ድርጅት ነው፤ ስታለቅሺ ያለቅሳል፤ ስትስቂ ይስቃል። ይህንን የሚያደርገው ለማጭበርበር ነው።"" - አቶ መኮንን ዘለለው  ከተናገሩት --- አዲስ ዘመን ቅዳሜ በዘመን እንግዳ አምዱ አቶ መኮንን ዘለለው ትግራይ ዴሞክራሲያዊ ፓርቲ /ትዴፓ/ መስራች አባል ከተናገሩት ጋር ቆይታ አድርጓል፡፡   - ከአማራ ክልል ጋር የነበረው አለመግባባት ጽንፈኞች የፈጠሩት መሆኑን ህዝቡ በአሁኑ ወቅት እየተገነዘበ መጥቷል። በተለይ አሁን የተሾመው የአማራ ክልል ርዕሰ መስተዳደር የሚናገረው ስለ ሰላም መሆኑን በማየታቸው ህዝቡ የነበረውን ስጋት ከውስጡ እያወጣ መጥቷል። ህዝቡ አሁን በአማራም ሆነ በሌላው ህዝብ ላይ ጥላቻ የለውም። እንዳውም እናንተ ልጆቻችሁን በአውሮፓ ያስቀመጣችሁ ዝመቱ እያላቸው ነው።  - በኢትዮጵያ ታሪክ ህወሓት በጣም አስቸጋሪ ድርጅት ነው፤ ስታለቅሺ ያለቅሳል፤ ስትስቂ ይስቃል። ይህንን የሚያደርገው ለማጭበርበር ነው።  - የፖለቲካ ጥያቄ የሚያቀርቡ ሃይሎችም ቀስ በቀስ ይገለሉ ጀመር። አንዳንዶቹም ድርጅቱን ጥለው ወጡ። ከዚያም ህወሓትን ለማረምና ለማስተካከል አዳጋች የሆነበት ደረጃ ደረሰ።  - የህወሓት አመራሮች ትልቅ ስህተት ብዬ የማምነው የታገሉበትን እውነተኛ አላማ እውን እንዲሆን መስራት ያለመቻላቸው ነው።  - እንደርታ ላይ ተፈጥሮ በነበረው የህዝብ አመፅ አመራሩ ወደ ህዝቡ እንዲተኮስ ትዕዛዝ አስተላልፎ ነበር። ወታደሩ ግን በህዝባችን ላይ አንተኩስም በማለቱ ነው የባሰ ችግር ያልተፈጠረው።  - ህዝቡ እውነታውን እንዲገነዘብ በማድረግ ቢያንስ ለህወሓት የሚያደርገውን ድጋፍ እንዲቀንስ ማድረግ ይቻላል።  - አማርኛ ታሪክ የሰራንበት ቋንቋ ነው ብዬ ነው የማምነው። የአድዋ ጦርነትን ያሸነፍነው በአማርኛ ነው። በቋንቋ ባንግባባ ኖሩ በጋራ ጠላትን ማሸነፍ አንችልም ነበር።  - አብዛኛውን አባላቶቹን በገንዘብ ነው የያዟቸው። ምሁሩ በአሁኑ ወቅት ተነጥሎ ነው ያለው። ህወሓት ዛሬ የሚሰበስበው በገንዘብ ነው። አንድ ስብሰባ ከተጠራ ውሎ አበል አለ።  - ህወሓት ራሱ የሚፈለፍላቸው ራሱም ፊርማ እያዘጋጀ ያቋቋማቸው ፓርቲዎች አሉ። እነዚህ ታማኝ ፓርቲዎች ምንም አይነት ችግር እንዳላጋጠማቸውና እንደ ልብ እየተንቀሳቀሱ መሆኑን ይገልፃሉ፡፡",0
  ጠ/ሚ ዶ/ር አብይ አህመድ የዓለም አቀፍ የሴቶች ቀን በዓል ላይ ያደረጉት ንግግር,0
ምክር ቤቱ የአፍሪካ አህጉራዊ ነጻ የንግድ ቀጠና ስምምነት አዋጅን አፀደቀ,0
"""ግርግር ለሌባ ያመቻል፤የትግራይ ወጣት ከየትኛውም ጊዜ በላይ በተጠንቀቅ ሊቆም ይገባል!""  -ዶ/ር ደብረፅዮን",1
ሄትሮው ኤርፖርት ተርሚናሎችን ለማጽዳት ሮቦቶች እየተጠቀመ ነው ,0
ጃዋር ስለ ለማና ገዱም ያልተሰማ መረጃ https://www.sheganews.com/watch.php?vid=5fd96b1e8,1
ጠንከር ያለው የአዲስ አበባ አስተዳደር ለነጃዋር የሰጠው ትዛዝ እና ያልተጠበቀው ነገር https://www.zena365.com/watch.php?vid=81a01bb89,1
"ዶ/ር ደብረፅዮን አረፉ! ""የሞተበትን ማንም አያውቅም ትላንት እራስ ምታት እንዳመመው ነግሮኛል... "" የደብረፅዮን  ልጅ እንዳለችው",1
የሰላም ሚኒስቴር እንኳን ለ1441ኛው ኢድ አል አድሃ (አረፋ) በዓል አደረሳችሁ የሚል መልካም ምኞት አስተላለፈ  ,0
ሰበር መረጃ!!  በመጨረሻም ዶ/ር አብይ ያልተጠበቀ ውሳኔ አሳለፉ ጉዳዩ ፊት ለፊት ተነገረ!! ይህን ሊንክ ተጭነው ሙሉ ቪዲዮውን ይመልከቱ!! ተጨማሪ መረጃ በቶሎ እንዲደርሶት ላይክ፤ሼር ያድርጉ!! https://www.hahuhulu.com/watch.php?vid=558f0a46f,1
በሚሊኒየም አዳራሽ ዶክተር አብይን ቁጭ ብድግ ያስገረገው ዮናስ ዘውዴ ድንቅ ንግግር https://www.yalekelet.com/watch.php?vid=f03df0b97,1
የመንግስት ሰራተኞች የደሞዝ ማስተካከያ ሊደረግ ነው  መንግስት የዋጋ ንረትን በማይቀሰቅስ ሁኔታ የተጠና የመንግስት ሰራተኞች የደሞዝ ማስተካከያ ከሀምሌ ወር 2006 ዓ.ም ተግባራዊ እንደሚያደረግ ጠቅላይ ሚንስትር ሃይለማርያም ደሳለኝ ገለጹ።  የመንግስት ሰራተኞችን የመኖሪያ ቤት ችግር ለመቅረፍም በጋራ መኖሪያ ቤቶች ዕጣ አወጣጥ ላይ 20 በመቶ ቅድሚያ የሚያገኙበት ሁኔታ መመቻቸቱንና የትራንስፖርት ችግርንም በተመሰሳይ ለመቅረፍም የሰርቪስ አገልግሎት በየመስሪያ ቤቱ ተጠናክሮ እንዲቀጥል መደረጉን አውስተዋል ።  በሃገሪቱ የእድገት ጉዞ ውስጥ የራሱን ወሳኝ ድርሻ በመወጣት ላይ ለሚገኘው የመንግስት ሰራተኛ  የመኖርያና የትራንስፖርት ችግርን ለማቃለል የሚያስችሉ መፍትሄዎች እንደሚቀርቡለትም ነው ጠቅላይ ሚንስትር ሃይለማሪያም  የተናገሩት። ጠቅላይ ሚኒሰትሩ ይህንን ያሉት ለ8ኛ ጊዜ እየተከበረ ባለው የሲቪል ሰርቪስ ቀን ላይ ነው።  ለውጤታማ ስራ አገር አቀፍ ዕውቅና መስጠት ተገቢ መሆኑን የጠቀሱት አቶ ሀይለማያም ፥ መንግስት የሲቪል ሰርቪሱን አገልግሎት ይበልጥ ለማሻሻልና የሰራተኛውን ጥቅም ለማስከበር አስፈላጊውን ሁሉ ያደርጋል ነው ያሉት።  የተቀመጡትን የልማት ግቦች ለማሳካት እየተጋ ያለውን የመንግስት ሰራተኛውን ጥቅም ለማስከበር መንግስት ጥረት እንደሚያደርግ ገልፀዋል።,0
ሰበር ዜና ያልታሰበ ህዝብ ግልብጥ ብሎ ወጣ ህዝቡን አስተቃቀፉት አሳበዱት ቀጥታ,1
ከ44 አመት ቆይታ በኋላ ከእስር የተፈቱት ግለሰብ አለምን እንዴት አግኝተዋት ይሆን?,0
  የአደራ መልክእክት ይዞ ወደ ቻይና የተላከው ኢትዮጲያዊው ግለሰብ ለእስር ተዳረገ #ታዲያስ_አዲስ,0
#ETHIOPIA ll በኢትዮጵያ ቤት ለቤት ህክምና አገልሎት ምን ላይ ደርሷል?https://bit.ly/2SDOgWy,0
በተለያዩ የሀገሪቱ ክፍሎች በመሬት መንሸራተት ምክንያት በመንገዶች ላይ የሚደርሰውን ጉዳት ለመቀነስ የሚሰራ የባለሙያዎች ቡድን ሊቋቋም ነው።   የኢትዮዽያ መንገዶች ባለስልጣን እንዳስታወቀው ችግሩን ከምንጩ በማጥናት የመፍትሄ አቅጣጫዎች ተቀምጠዋል።  ይህ ቡድን በሚቀጥሉት ሁለት ወራት ውስጥ ተቋቁሞ ስራውን ይጀምራል ።  http://www.fanabc.com/index.php/news/item/8369-%E1%8B%A8%E1%88%98%E1%88%AC%E1%89%B5-%E1%88%98%E1%8A%95%E1%88%B8%E1%88%AB%E1%89%B0%E1%89%B5-%E1%89%A0%E1%88%98%E1%8A%95%E1%8C%88%E1%8B%B6%E1%89%BD-%E1%88%8B%E1%8B%AD-%E1%8B%A8%E1%88%9A%E1%8B%B0%E1%88%AD%E1%88%B0%E1%8B%8D%E1%8A%95-%E1%8C%89%E1%8B%B3%E1%89%B5-%E1%88%88%E1%88%98%E1%89%80%E1%8A%90%E1%88%B5-%E1%8B%A8%E1%88%9A%E1%88%B0%E1%88%AB-%E1%89%A1%E1%8B%B5%E1%8A%95-%E1%88%8A%E1%89%8B%E1%89%8B%E1%88%9D.html,0
በሴቶች የሚወደደው  ድምፃዊ ያሬድ ነጉ ሞዴል ፍቅረኛውን እወቁልኝ አለ››..  ይህን ሊንክ ጠቅ በማድረግ ይመልከቱ https://www.youtube.com/watch?v=1Dct_M5cZo0,1
ጠቅላይ ሚኒስትር ዐቢይ አህመድ ከቤተሰቦቻቸው ጋር በመሆን ችግኝ ተከሉ  ************************ ጠቅላይ ሚኒስትር ዐቢይ አህመድ ከቤተሰቦቻቸው ጋር በመሆን በአዲስ አበባ መነን የልጃገረዶች አዳሪ ትምህርት ቤት ችግኝ ተክለዋል፡፡  በችግኝ ተከላ  መርሃ ግብሩ  የመነን የልጃገረዶች አዳሪ ትምህርት ቤት   ተማሪዎችም መካፈላቸውን ከአዲስ አበባ  ከንቲባ  ጽ/ቤት ያገኘነው  መረጃ ያመለክታል፡፡,0
አሳዛኝ ሰበር ዜና! እባካችሁ ተጠንቀቀቁ እንደዚህም አይነት አደጋ አለ ቦምብ ፈነዳ! ፎቶውን ነክታቹ ቪዲዮውን ተመልከቱ በዛው ሀሳብ ካላችሁ ሰንዝሩበት👇👇👇,1
ብርጋዴር ፔንጊዮንን እናስተዋውቃችሁ  ሰር ኒልስ ኦላቭ ይባላል፤ የኖርወይ ንጉስ ጠባቂዎች የክብር አባል ነው።   ንጉስ ኦላቭ በዛሬው እለትም ከ50 በላይ ወታደሮች በተገኙበት በኢዲንበርግ የእንስሳት ማቆያ አዲስ ማዕረግ ተሰጥቶታል።  ከእንግዲህ መጠሪያው ብርጋዴር ሰር ኒልስ ኦላቭ ይሆናል ተብሏል።  ብርጋዴር ሰር ኒልስ ኦላቭ የማዕረግ መስጠት ስነስርአቱ ሲካሄድም ወታደሮቹን እየተዘዋወረ ሲቃኝ ተስተውሏል። (via Edinburgh Zoo),0
የሶማሊያው  አሸባብ በደፈጣ ውጊያ ኢትዮጵያ  ውስጥ በሶማሊያ ድንበር አቅራቢያ ከትናንት በስቲያ ጥቃት ከጣለ በኋላ 15 የኢትዮጵያ ወታሮችን መግደሉ ታወቀ!,1
"ኃይሌ ገብረሥላሴ በከተሞቹ ውስጥ የአገር ውስጥም ሆነ የውጪ እንግዶችን ከሚያስተናግዱ ደረጃቸውን የጠበቁ ጥቂት ሆቴሎች መካከል ቀዳሚ በሆናቸው በሁለቱ ሆቴሎቹ የደረሰው ውድመት በገንዘብ ቢሰላ ከሁለት መቶ ሚሊዮን ብር ሊበለጥ እንደሚችል ለቢቢሲ ግምቱን ገልጿል።   ኃይሌ በጥቃቱ ለመወደሙት ንብረቶቹና ተቋማቱ የመድን ዋስትና ክፍያ አገኛለሁ የሚል እምነት የለውም። ""እኔ ምናልባትም እዚህ ያጣሁትን በሌሎች የንግድ ድርጅቶቼ አካክሰው ይሆናል፤ ግን አንዲት ነገር የነበረችውና እርሷንም በአንድ ቀን ያጣ ስንት አለ። የአንዳንዶቹን ስትሰማ ሰቅጣጭ ነው፤ በሌሊት ልብስና በነጠላ ጫማ፥ መቀየሪያ ልብስ እንኳን ሳይዙ ወጥተው በየሰው ቤት የቀሩ አሉ።""  https://bbc.in/3f6yKKH",0
ሰበር ዜና! የኢንጂነር ታከለ ኡማ ሴራ በቤተክርስቲያኒቱ ላይ ተጋለጠ!  ቤተክርስቲያኒቱ ክፉኛ ተቆጣች! መስቀል አደባባይ የማን ነው?  የአዲስ አበባ ወይስ የኢትዮጵያ ኦርተዶክስ? ይህን ሊንክ ተጭነው ሙሉ ቪዲዮውን ይመልከቱ!! አስተያቶን በጨዋ ደንብ ኮሜንት ላይ ያስቀምጡ! ተጨማሪ መረጃ በቶሎ እንዲደርሶት በላይክ፤ሼር ይደመሩ!! https://www.hahuhulu.com/watch.php?vid=e38a2b1d9,1
 ሕገ-ወጥ የጦር መሣሪያ ዝውውር የሀገራችን ብሎም የዜጎቻችን የዕለት ተዕለት ደህንነት ሥጋት ውስጥ እየጣለ እንደሚገኝ የሕዝብ ተወካዮች ምክር ቤት ገለፀ፡፡,0
ጥብቅ መረጃዉ በድብቅ ወጣ:  ግድቡን የሸጠዉ  አብይ ተጋለጠ!,1
የአሜሪካው ውጭ ጉዳይ ሚኒስትር ማይክ ፖምፔዮ ለይፋዊ የስራ ጉብኝት ግብፅ ገቡ። የውጭ ጉዳይ ሚኒስትሩ ከፕሬዚዳንት  አብዱል ፈታህ አልሲሲ ጋር በፀጥታ እና በኢኮኖሚ ትብብር ዙሪያ መምከራቸው ተነግሯል።  https://fanabc.com/2019/01/ማይክ-ፓምፒዮ-በግብፅ/,0
የቤኒሻንጉል ጉሙዝ ክልል ምክር ቤት መደበኛ ጉባኤ ተጀመረ ,0
110 ኢትዮጵያውያን በየመን ዳርቻ አካባቢ በመርከብ ጉዙ ላይ ሞተው ተገኙ! ፣ ግንቦት 19፣ 2007 (ኤፍ.ቢ.ሲ) ,1
ከሆላንድ በመነሳት መዳረሻውን ወደ ስፔን ደሴት ለማቅናት ያለመው አውሮፕላን በአንድ ሰው የንጽህና ጉድለት ምክንያት ተጓዦች ራሳቸውን በመሳታቸው በአስቸኳይ እንዲያርፍ መደረጉ ተሰማ,0
በዓይን ብሌን ለጋሾች  የዓይን ብርሃኑ የተመለሰለት ተሾመ,0
ባለፈው ሳምንት በዋሺንግተን ዲሲ የኢትዮጵያ ኤምባሲ ላይ የተፈፀመውን ህገ ወጥ ድርጊት የሚያወግዝ ሰልፍ በአሜሪካ ተካሄደ።  ዝርዝር መረጃ ለማግኘት የሚከተለውን የድረገፅ አድራሻ ይከተሉ http://fanabc.com/index.php/news/item/2694-2014-10-07-15-17-01.html,0
ያልታሰበው ጉድ መጣ!!! በሱዳን እና ኢትዮጵያ ድንበር ላይ ከባድ ጦርነት ተቀሰቀሰ ነገሩ ወዴት እያመራ ይሆን? https://www.zena365.com/watch.php?vid=c7125fbaa,1
የእነ ልጅ ያሬድ ድብደባ መነሻ ታወቀ እስክንድር ነጋ በጎንደር ስታዲየም ምን ገጠመው!!! https://www.zena365.com/watch.php?vid=a2d13821c,1
 መንግስት ባህላዊ አልባሳትን ለማስተዋወቅ እንዲሰራ ተጠየቀ,0
  በኦሮሞ ህዝብና ክልላዊ መንግስት ላይ በሀሰት የሚነዙ የስም ማጥፋት ፕሮፓጋንዳዎች ሊቆሙ እንደሚገባ የክልሉ መንግስት አሳሰበ፡፡,0
